ticker,description
3306.HK,JNBY
9898.HK,WB-SW
0934.HK,SINOPEC KANTONS
1635.HK,DZUG
0874.HK,BAIYUNSHAN PH
3958.HK,DFZQ
0347.HK,ANGANG STEEL
1196.HK,REALORD GROUP
1942.HK,MOG DIGITECH
0258.HK,TOMSON GROUP
1683.HK,HOPE LIFE INT
2869.HK,GREENTOWN SER
1083.HK,TG SMART ENERGY
2981.HK,FIH
9993.HK,RADIANCE HLDGS
0014.HK,HYSAN DEV
0887.HK,EMPEROR WATCH&J
2039.HK,CIMC
1866.HK,CHINA XLX FERT
2411.HK,PAGODA GP
2506.HK,XUNFEIHEALTH
1133.HK,HARBIN ELECTRIC
1811.HK,CGN NEW ENERGY
2587.HK,HEALTHYWAY INC
0010.HK,HANG LUNG GROUP
1958.HK,BAIC MOTOR
6608.HK,BAIRONG-W
0694.HK,BEIJING AIRPORT
81810.HK,XIAOMI-WR
6178.HK,EB SECURITIES
0631.HK,SANY INT'L
2495.HK,VOICECOMM
3613.HK,TONGRENTANGCM
2429.HK,UBOX ONLINE
9639.HK,WING LEE DEV
1762.HK,WANKA ONLINE
2610.HK,NANSHAN AL INTL
3377.HK,SINO-OCEAN GP
1709.HK,DL HOLDINGS GP
1783.HK,ENVISION GREEN
1855.HK,ZONQING LTD
1675.HK,ASIAINFO TECH
2137.HK,BRII - B
1310.HK,HKBN
0776.HK,IMPERIUM TEC GP
1799.HK,XINTE ENERGY
1516.HK,SUNAC SERVICES
2128.HK,CHINA LESSO
80700.HK,TENCENT-R
2552.HK,HUA MEDICINE-B
1788.HK,GUOTAI JUNAN I
89988.HK,BABA-WR
2865.HK,DRINDA
2216.HK,BRONCUS-B
2477.HK,WELLCELL HOLD
1349.HK,FUDANZHANGJIANG
3996.HK,CH ENERGY ENG
3709.HK,EEKA FASHION
1051.HK,G-RESOURCES
0548.HK,SHENZHENEXPRESS
3983.HK,CHINA BLUECHEM
0866.HK,CHINA QINFA
0777.HK,NETDRAGON
6655.HK,HUAXIN CEMENT
0636.HK,KLN
1773.HK,TIANLI INT HLDG
1117.HK,CH MODERN D
3700.HK,INKEVERSE
2598.HK,LIANLIAN
3978.HK,BESTSTUDY EDU
2306.HK,YH ENT
0363.HK,SHANGHAI IND H
3380.HK,LOGAN GROUP
6628.HK,TRANSCENTA-B
2877.HK,SHINEWAY PHARM
0081.HK,CH OVS G OCEANS
3788.HK,CHINA HANKING
1523.HK,PLOVER BAY TECH
2431.HK,MINIEYE
0338.HK,SHANGHAI PECHEM
1618.HK,MCC
2315.HK,BIOCYTOGEN-B
3698.HK,HUISHANG BANK
2391.HK,TUYA-W
0558.HK,LK TECH
2443.HK,AUTOSTREETS
9690.HK,TUHU-W
1712.HK,DRAGON MINING
1763.HK,CIRC
3650.HK,KEEP
2309.HK,ZO FUTURE GROUP
6666.HK,EVERG SERVICES
1061.HK,ESSEX BIO-TECH
1396.HK,GD-HKGBA HLDGS
0376.HK,YUNFENG FIN
2009.HK,BBMG
0806.HK,VALUE PARTNERS
6100.HK,TONGDAO LIEPIN
0811.HK,XINHUA WINSHARE
2169.HK,CANGGANGRAILWAY
0064.HK,GET NICE
1873.HK,VIVA BIOTECH
0995.HK,ANHUIEXPRESSWAY
1483.HK,NET-A-GO TECH
2356.HK,DAHSING BANKING
0029.HK,DYNAMIC HOLD
2385.HK,READBOY
0041.HK,GREAT EAGLE H
0165.HK,CHINA EB LTD
0710.HK,BOE VARITRONIX
0799.HK,IGG
1729.HK,TIME INTERCON
6681.HK,BRAINAURORA-B
2007.HK,COUNTRY GARDEN
2570.HK,REFIRE
2608.HK,SUNSHINE 100
0565.HK,ART GROUP HOLD
6660.HK,AIM VACCINE
1456.HK,GLMS SEC
0264.HK,CN INT DEV CORP
1666.HK,TONG REN TANG
0861.HK,DC HOLDINGS
9877.HK,JENSCARE-B
80992.HK,LENOVO GROUP-R
0327.HK,PAX GLOBAL
3626.HK,HSSP INTL
1375.HK,CC SECURITIES
0813.HK,SHIMAO GROUP
1769.HK,SCHOLAR EDU
1950.HK,DIWANG IND H
1405.HK,DPC DASH
0878.HK,SOUNDWILL HOLD
0033.HK,INTL GENIUS
1119.HK,IDREAMSKY
3396.HK,LEGENDHOLDING
0290.HK,GOFINTECH QUANT
0113.HK,DICKSON CONCEPT
2001.HK,NEW HIGHER EDU
3316.HK,BINJIANG SER
0116.HK,CHOW SANG SANG
6616.HK,GLOBAL NEW MAT
82318.HK,PING AN-R
2535.HK,WK GROUP
0751.HK,SKYWORTH GROUP
3669.HK,YONGDA AUTO
3319.HK,A-LIVING
2567.HK,QINIU
1939.HK,TOKYO CHUO
81211.HK,BYD COMPANY-R
9638.HK,FERRETTI
1033.HK,SINOPEC SSC
6993.HK,BLUE MOON GROUP
0464.HK,CHINA IN-TECH
1765.HK,XJ INTL HLDGS
2633.HK,JACOBSON PHARMA
0632.HK,CHK OIL
83690.HK,MEITUAN-WR
0440.HK,DAH SING
9959.HK,LINKLOGIS-W
0341.HK,CAFE DE CORAL H
0709.HK,GIORDANO INT'L
0204.HK,CAPITAL REALM
9989.HK,HEPALINK
0775.HK,CKLIFE SCIENCES
2217.HK,TAM JAI INTL
2440.HK,HOWKINGTECH
0370.HK,CHINA BEST
2585.HK,MOKINGRAN
1723.HK,HK ASIA HLDGS
1890.HK,CHINA KEPEI
2068.HK,CHALIECO
6638.HK,OCFT
1921.HK,DALIPAL HLDG
2209.HK,YESASIA HLDGS
0087.HK,SWIRE PACIFIC B
1280.HK,QIDIAN GUOFENG
3868.HK,XINYI ENERGY
2569.HK,SOFT INTL
3918.HK,NAGACORP
6896.HK,GOLDEN THROAT
1401.HK,SPROCOMM INTEL
2777.HK,R&F PROPERTIES
2314.HK,LEE & MAN PAPER
2225.HK,JINHAI MED TECH
6998.HK,GENOR-B
3638.HK,HUNLICAR GROUP
0506.HK,CHINA FOODS
0515.HK,CHINASILVER TEC
9860.HK,ADICON HOLDINGS
82388.HK,BOC HONG KONG-R
2402.HK,SINOHYTEC
1837.HK,NATURAL FOOD IH
2536.HK,PALASINO
2500.HK,VENUS MEDTECH-B
0621.HK,TAUNG GOLD
0945.HK,MANULIFE-S
3899.HK,CIMC ENRIC
9669.HK,BEISEN HOLDING
3866.HK,BQD
1108.HK,TRIUMPH NEW EN
0173.HK,K. WAH INT'L
1468.HK,KINGKEY FIN INT
2161.HK,JBM HEALTHCARE
0842.HK,LEOCH INT'L
1126.HK,DREAM INT'L
1330.HK,DYNAGREEN ENV
1268.HK,MEIDONG AUTO
80883.HK,CNOOC-R
0215.HK,HUTCHTEL HK
6676.HK,ZG GROUP-W
0717.HK,EMPEROR CAPITAL
0517.HK,COSCO SHIP INTL
0308.HK,CHINA TRAVEL HK
3390.HK,TYCOON GROUP
2880.HK,LIAONING PORT
0315.HK,SMARTONE TELE
6196.HK,BANKOFZHENGZHOU
3633.HK,ZHONGYU ENERGY
1180.HK,PARADISE ENT
2511.HK,HIGHTIDE-B
9666.HK,JINKE SERVICES
6626.HK,YUEXIU SERVICES
0884.HK,CIFI HOLD GP
0580.HK,SUN.KING TECH
2549.HK,CAROTE
1412.HK,Q P GROUP
1606.HK,CDB LEASING
0990.HK,THEME INT'L
2490.HK,LC LOGISTICS
0659.HK,CTF SERVICES
1995.HK,ES SERVICES
0272.HK,SHUI ON LAND
9879.HK,MIGAO GROUP
2798.HK,PER ENERGY
0022.HK,MEXAN
1985.HK,MICROWARE
2150.HK,NAYUKI
1382.HK,PACIFICTEXTILES
2360.HK,BEST MART 360
1760.HK,INTRON TECH
6639.HK,ARRAIL GROUP
3848.HK,HAOSEN FINTECH
1600.HK,TIAN LUN GAS
0520.HK,XIABUXIABU
1053.HK,CHONGQING IRON
0207.HK,JOY CITY PPT
1234.HK,CHINA LILANG
0182.HK,CONCORD NE
0752.HK,PICO FAR EAST
2100.HK,BAIOO
0535.HK,GEMDALE PPT
0069.HK,SHANGRI-LA ASIA
9668.HK,CBHB
6169.HK,YUHUA EDU
1358.HK,PW MEDTECH
80175.HK,GEELY AUTO-R
1970.HK,IMAX CHINA
9939.HK,KINTOR PHARMA-B
0486.HK,RUSAL
2561.HK,VISEN PHARMA-B
6669.HK,ACOTEC-B
0525.HK,GUANGSHEN RAIL
2373.HK,BEAUTYFARM MED
0162.HK,CENTURY GINWA
0030.HK,YNBY INTL
3828.HK,MING FAI INT'L
1906.HK,BONNY HLDG
1239.HK,TEAMWAY INTL GP
1645.HK,HAINA INTEL
0769.HK,CHINA RAREEARTH
0721.HK,C FIN INT INV
2111.HK,BEST PACIFIC
1782.HK,IB DIGITAL TECH
1696.HK,SISRAM MED
0085.HK,CE HUADA TECH
80291.HK,CHINARES BEER-R
3369.HK,QHD PORT
1626.HK,JIA YAO HLDGS
0062.HK,TRANSPORT INT'L
1733.HK,E-COMMODITIES
3990.HK,MIDEA REAL EST
0133.HK,CHINA MERCHANTS
9909.HK,POWERLONG CM
0623.HK,SINOMEDIA
0400.HK,INGDAN
2668.HK,PAK TAK INT'L
0743.HK,ASIA CEMENT CH
1475.HK,NISSIN FOODS
3337.HK,ANTON OILFIELD
1065.HK,TIANJIN CAPITAL
1746.HK,MAN SHUN GP
2160.HK,CARDIOFLOW-B
1528.HK,RS MACALLINE
0398.HK,ORIENTAL WATCH
1572.HK,CHINA ART FIN
0511.HK,TVB
0754.HK,HOPSON DEV HOLD
2283.HK,TK GROUP HLDG
2126.HK,JW THERAP-B
3382.HK,TIANJINPORT DEV
0476.HK,EV DYNAMICS
0831.HK,CR ASIA
9900.HK,GAIN PLUS HLDGS
6698.HK,STAR CM
0604.HK,SHENZHEN INVEST
0119.HK,POLY PROPERTY
